Cittadinanza;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
Slovacchia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;12;16;24;39;59;66;88;115;124;137;148;154;159;172;179
Slovenia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;20;19;23;22;27;28;31;30;26;19;18;22;23;30;34;51;59;60;75
Somalia;58;62;75;84;88;91;93;94;119;127;144;167;233;0;610;735;848;903;947;1109;1214;1264;1278;1197;453;466;477;473;466;447;456;542;503;497
Spagna;273;287;326;333;602;621;611;610;766;875;928;957;536;1104;1168;1222;1266;1290;1359;1494;1515;1580;1783;1772;1070;1190;1357;1437;1488;1555;1678;1788;1915;2093
Sri Lanka (Ceylon);12;22;42;76;96;142;175;209;308;377;455;635;686;1224;1585;1940;2362;2676;3457;4624;5195;6118;7219;7860;7138;8701;9872;10318;10600;11087;12348;13340;14512;16125
Stati Uniti d'America;512;509;515;550;1281;1297;1305;1344;1643;1638;1623;1677;850;1771;1802;1846;1826;1748;1785;1831;1826;1850;1948;1877;815;872;948;984;1012;1030;1065;1105;1150;1237
Sud Africa;45;54;53;51;62;59;61;57;45;48;47;46;21;0;46;47;47;40;40;39;40;41;44;45;26;28;31;36;36;33;37;40;31;39
Sudan;16;16;16;19;23;19;20;20;25;25;24;22;17;0;41;45;46;45;48;55;63;67;75;60;51;55;66;113;147;121;112;122;106;123
Suriname;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
Svezia;84;92;85;93;137;127;130;125;139;142;143;150;87;0;161;191;202;198;213;242;254;274;319;324;194;213;245;258;275;286;307;322;339;352
Svizzera;1673;1641;1572;1529;2294;2205;2119;2024;2028;1993;1953;1895;1020;1772;1719;1686;1631;1572;1561;1549;1496;1464;1469;1384;883;860;866;861;843;823;841;828;816;808
Swaziland;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tagikistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;5;5;5;7;7;6;3;4;7;7;9;9
Taiwan (Formosa);27;30;39;44;65;66;75;76;77;75;77;79;22;0;92;93;120;119;44;35;131;135;142;126;32;31;44;49;54;55;64;67;71;77
Tanzania;2;8;9;10;10;9;10;10;11;6;6;8;6;0;9;13;13;10;11;14;14;15;16;13;10;10;10;13;13;14;16;16;16;18
Territori Autonomia Palestinese;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;3;4;10;21;25;25;24;32;41;48;43
Thailandia;7;7;9;21;23;26;26;26;35;37;37;38;38;0;62;57;59;57;61;74;76;83;97;93;67;74;97;102;118;129;147;167;186;221
Togo;5;6;6;5;6;6;7;6;6;6;6;2;3;0;8;9;9;10;12;16;19;21;27;36;41;70;110;160;139;123;119;129;118;118
Trinidad e Tobago;5;3;3;4;4;3;3;3;5;4;4;6;5;0;9;10;11;12;12;12;12;12;12;14;4;4;5;5;5;6;6;7;6;6
Tunisia;95;101;119;123;158;153;154;148;208;242;274;374;299;818;903;961;970;987;1082;1214;1229;1314;1441;1393;970;1164;1294;1372;1411;1468;1532;1592;1627;1757
Turchia;116;124;147;161;599;601;583;561;510;526;542;566;324;696;722;764;745;739;805;934;946;994;1112;1096;790;924;1021;1034;1055;1038;1061;1118;1172;1295
Turkmenistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;1;1;1;4;4;6;6;4;4;4;5;4;5
